PLANT,PLANT_LAT,PLANT_LNG,SHIPMENTS,DESTINATION,DESTINATION_ZIP,DESTINATION_STATE,DESTINATION_COUNTRY,DESTINATION_STATE_LAT,DESTINATION_STATE_LNG,DESTINATION_ZIP_LAT,DESTINATION_ZIP_LNG
560,40.57,-112.33,1,ORANGE,92865,CA,US,36.17,-119.7462,33.83,-117.85
70,38.88,-89.4,3,ZEELAND,49464,MI,US,43.3504,-84.5603,42.81,-86.01
550,32.73,-96.29,3,Abilene,79602,TX,US,31.106,-97.6475,32.45,-99.73
560,40.57,-112.33,1,BASIN,82410,WY,US,42.7475,-107.2085,44.37,-108.04
642,39.69,-104.81,1,RIFLE,81650,CO,US,39.0646,-105.3272,39.53,-107.77
642,39.69,-104.81,1,BERNALILLO,87004,NM,US,34.8375,-106.2371,35.31,-106.55
530,41.93,-87.87,1,OMAHA,68110,NE,US,41.1289,-98.2883,41.26,-96.01
642,39.69,-104.81,1,CENTENNIAL,80112,CO,US,39.0646,-105.3272,39.64,-104.99
642,39.69,-104.81,5,DENVER,80223,CO,US,39.0646,-105.3272,39.76,-104.87
641,41.22,-96.48,2,WICHITA,67219,KS,US,38.5111,-96.8005,37.68,-97.34
641,41.22,-96.48,2,VALLEY,68064,NE,US,41.1289,-98.2883,41.31,-96.34
10,40.2,-77.2,1,CLEVES,45002,OH,US,40.3736,-82.7755,39.16,-84.74
70,38.88,-89.4,1,MENOMONEEFALLS,53051,WI,US,44.2563,-89.6385,43.14,-88.12
70,38.88,-89.4,1,MILWAUKEE,53221,WI,US,44.2563,-89.6385,43.06,-87.96
70,38.88,-89.4,1,RICELAKE,54868,WI,US,44.2563,-89.6385,45.49,-91.73
530,41.93,-87.87,5,SAINTLOUIS,63114,MO,US,38.4623,-92.302,38.63,-90.24
530,41.93,-87.87,3,RICELAKE,54868,WI,US,44.2563,-89.6385,45.49,-91.73
530,41.93,-87.87,1,STEVENSPOINT,54481,WI,US,44.2563,-89.6385,44.54,-89.56
70,38.88,-89.4,1,HIBBING,55746,MN,US,45.7326,-93.9196,47.4,-92.94
70,38.88,-89.4,1,SAINTCLOUD,56304,MN,US,45.7326,-93.9196,45.55,-94.17
641,41.22,-96.48,1,NIXA,65714,MO,US,38.4623,-92.302,37.04,-93.29
90,34.61,-89.97,1,Concord,28026,NC,US,35.6411,-79.8431,35.4,-80.59
90,34.61,-89.97,1,GRANDRAPIDS,49548,MI,US,43.3504,-84.5603,42.96,-85.65
90,34.61,-89.97,1,PORTAGE,49024,MI,US,43.3504,-84.5603,42.2,-85.59
90,34.61,-89.97,1,SANANTONIO,78259,TX,US,31.106,-97.6475,29.45,-98.5
91,40.57,-112.33,1,CORONA,92879,CA,US,36.17,-119.7462,33.87,-117.53
540,30.19,-82.64,5,DAVIDSON,28036,NC,US,35.6411,-79.8431,35.49,-80.84
560,40.57,-112.33,5,SANDIEGO,92111,CA,US,36.17,-119.7462,32.8,-117.16
550,32.73,-96.29,1,KANSASCITY,66103,KS,US,38.5111,-96.8005,39.1,-94.62
580,47.1,-122.32,2,VANCOUVER,98661,WA,US,47.3917,-121.5708,45.64,-122.63
663,38.39,-121.81,1,PUYALLUP,98375,WA,US,47.3917,-121.5708,47.1,-122.32
10,40.2,-77.2,1,OKLAHOMACITY,73108,OK,US,35.5376,-96.9247,35.46,-97.51
320,32.73,-96.29,3,AUSTIN,78758,TX,US,31.106,-97.6475,30.26,-97.74
320,32.73,-96.29,1,SACRAMENTO,95816,CA,US,36.17,-119.7462,38.57,-121.46
1520,41.52,-74.23,3,HARRISON,7029,NJ,US,40.314,-74.5089,40.74,-74.15
1520,41.52,-74.23,2,CLARENCE,14031,NY,US,42.1497,-74.9384,42.98,-78.6
1520,41.52,-74.23,3,WILLIAMSPORT,17701,PA,US,40.5773,-77.264,41.23,-77.03
320,32.73,-96.29,1,OMAHA,68117,NE,US,41.1289,-98.2883,41.26,-96.01
1520,41.52,-74.23,1,CEDARKNOLLS,7927,NJ,US,40.314,-74.5089,40.82,-74.45
1520,41.52,-74.23,1,LODI,7644,NJ,US,40.314,-74.5089,40.87,-74.08
1520,41.52,-74.23,5,LEWISTON,4240,ME,US,44.6074,-69.3977,44.08,-70.17
1520,41.52,-74.23,11,EASTRUTHERFORD,7073,NJ,US,40.314,-74.5089,40.81,-74.08
1520,41.52,-74.23,1,Queens,11101,NY,US,42.1497,-74.9384,40.74,-73.93
1520,41.52,-74.23,1,NEWYORK,10023,NY,US,42.1497,-74.9384,40.71,-73.99
1520,41.52,-74.23,1,ALLENTOWN,18102,PA,US,40.5773,-77.264,40.59,-75.47
530,41.93,-87.87,2,MADISON,53716,WI,US,44.2563,-89.6385,43.07,-89.38
10,40.2,-77.2,2,SANDIEGO,92111,CA,US,36.17,-119.7462,32.8,-117.16
570,39.8,-79.8,2,HAMPTON,23669,VA,US,37.768,-78.2057,37.04,-76.29
570,39.8,-79.8,5,Cleveland,44115,OH,US,40.3736,-82.7755,41.47,-81.67
1661,47.1,-122.32,1,POULSBO,98370,WA,US,47.3917,-121.5708,47.75,-122.61
641,41.22,-96.48,1,TOPEKA,66604,KS,US,38.5111,-96.8005,39.03,-95.69
641,41.22,-96.48,2,TOPEKA,66618,KS,US,38.5111,-96.8005,39.03,-95.69
641,41.22,-96.48,1,DALLAS,75228,TX,US,31.106,-97.6475,32.79,-96.76
530,41.93,-87.87,5,KIRKSVILLE,63501,MO,US,38.4623,-92.302,40.19,-92.57
560,40.57,-112.33,8,ALBUQUERQUE,87107,NM,US,34.8375,-106.2371,35.11,-106.62
663,38.39,-121.81,1,COLMA,94014,CA,US,36.17,-119.7462,37.68,-122.43
663,38.39,-121.81,1,SANJOSE,95118,CA,US,36.17,-119.7462,37.25,-121.88
663,38.39,-121.81,2,SANJOSE,95125,CA,US,36.17,-119.7462,37.29,-121.88
663,38.39,-121.81,1,SANJOSE,95133,CA,US,36.17,-119.7462,37.37,-121.86
646,28.04,-81.96,3,LAKEMARY,32746,FL,US,27.8333,-81.717,28.75,-81.33
70,38.88,-89.4,1,SiouxFalls,57104,SD,US,44.2853,-99.4632,43.54,-96.73
91,40.57,-112.33,2,SANANTONIO,78217,TX,US,31.106,-97.6475,29.45,-98.5
550,32.73,-96.29,2,SPRINGFIELD,65803,MO,US,38.4623,-92.302,37.19,-93.28
1520,41.52,-74.23,2,SWEDESBORO,8085,NJ,US,40.314,-74.5089,39.74,-75.31
646,28.04,-81.96,1,ALPHARETTA,30009,GA,US,32.9866,-83.6487,34.06,-84.27
646,28.04,-81.96,1,DORAVILLE,30360,GA,US,32.9866,-83.6487,33.76,-84.42
540,30.19,-82.64,1,Chattanooga,37421,TN,US,35.7449,-86.7489,35.06,-85.25
1520,41.52,-74.23,3,FAYETTEVILLE,13066,NY,US,42.1497,-74.9384,43.02,-76
540,30.19,-82.64,25,CONCORD,28027,NC,US,35.6411,-79.8431,35.4,-80.59
10,40.2,-77.2,1,FORTLAUDERDALE,33311,FL,US,27.8333,-81.717,26.14,-80.13
646,28.04,-81.96,1,SAINTPETERSBURG,33714,FL,US,27.8333,-81.717,27.75,-82.64
560,40.57,-112.33,17,RENO,89506,NV,US,38.4199,-117.1219,39.76,-119.86
91,40.57,-112.33,1,CUERO,77954,TX,US,31.106,-97.6475,29.09,-97.28
663,38.39,-121.81,1,MEAD,68041,NE,US,41.1289,-98.2883,41.22,-96.48
663,38.39,-121.81,1,PEORIA,85345,AZ,US,33.7712,-111.3877,33.57,-112.25
641,41.22,-96.48,1,TOPEKA,66607,KS,US,38.5111,-96.8005,39.03,-95.69
570,39.8,-79.8,3,BALTIMORE,21229,MD,US,39.0724,-76.7902,39.3,-76.61
10,40.2,-77.2,1,Montgomery,36116,AL,US,32.799,-86.8073,32.35,-86.28
1520,41.52,-74.23,2,DANBURY,6810,CT,US,41.5834,-72.7622,41.4,-73.47
10,40.2,-77.2,1,ELIZABETHTOWN,28337,NC,US,35.6411,-79.8431,34.62,-78.61
540,30.19,-82.64,3,KISSIMMEE,34747,FL,US,27.8333,-81.717,28.3,-81.41
10,40.2,-77.2,1,AKRON,44312,OH,US,40.3736,-82.7755,41.08,-81.52
1520,41.52,-74.23,6,DEDHAM,2026,MA,US,42.2373,-71.5314,42.24,-71.17
570,39.8,-79.8,1,Lorton,22079,VA,US,37.768,-78.2057,38.7,-77.24
540,30.19,-82.64,1,JOHNSONCITY,37602,TN,US,35.7449,-86.7489,36.33,-82.36
310,40.2,-77.2,1,SAINTPAUL,55108,MN,US,45.7326,-93.9196,44.94,-93.1
642,39.69,-104.81,1,DENVER,80229,CO,US,39.0646,-105.3272,39.76,-104.87
570,39.8,-79.8,1,CARY,27518,NC,US,35.6411,-79.8431,35.78,-78.79
550,32.73,-96.29,1,DALLAS,75220,TX,US,31.106,-97.6475,32.79,-96.76
560,40.57,-112.33,1,MURRAY,84123,UT,US,40.1135,-111.8535,40.65,-111.92
540,30.19,-82.64,4,FORTLAUDERDALE,33314,FL,US,27.8333,-81.717,26.14,-80.13
540,30.19,-82.64,1,PENSACOLA,32514,FL,US,27.8333,-81.717,30.44,-87.18
540,30.19,-82.64,1,PELHAM,35124,AL,US,32.799,-86.8073,33.3,-86.79
540,30.19,-82.64,1,STOCKBRIDGE,30281,GA,US,32.9866,-83.6487,33.54,-84.24
540,30.19,-82.64,3,SUMMERVILLE,29483,SC,US,33.8191,-80.9066,33,-80.17
570,39.8,-79.8,1,PITTSBURGH,15226,PA,US,40.5773,-77.264,40.43,-79.97
570,39.8,-79.8,1,LAURINBURG,28352,NC,US,35.6411,-79.8431,34.76,-79.47
570,39.8,-79.8,1,RALEIGH,27603,NC,US,35.6411,-79.8431,35.82,-78.65
1520,41.52,-74.23,1,PELHAM,3076,NH,US,43.4108,-71.5653,42.73,-71.31
540,30.19,-82.64,1,SUWANEE,30024,GA,US,32.9866,-83.6487,34.05,-84.07
70,38.88,-89.4,1,AURORA,80011,CO,US,39.0646,-105.3272,39.69,-104.81
540,30.19,-82.64,2,TAMPA,33619,FL,US,27.8333,-81.717,27.95,-82.48
540,30.19,-82.64,9,DORAVILLE,30360,GA,US,32.9866,-83.6487,33.76,-84.42
540,30.19,-82.64,2,FRANKLIN,37064,TN,US,35.7449,-86.7489,35.92,-86.84
540,30.19,-82.64,3,NASHVILLE,37204,TN,US,35.7449,-86.7489,36.17,-86.78
540,30.19,-82.64,8,HOUSTON,77064,TX,US,31.106,-97.6475,29.76,-95.38
1520,41.52,-74.23,6,DOVER,3820,NH,US,43.4108,-71.5653,43.19,-70.87
1520,41.52,-74.23,6,GARDENCITY,11530,NY,US,42.1497,-74.9384,40.72,-73.64
540,30.19,-82.64,2,JEFFERSON,70121,LA,US,31.1801,-91.8749,30.06,-89.93
665,33.44,-112.13,4,PHOENIX,85034,AZ,US,33.7712,-111.3877,33.43,-112.01
10,40.2,-77.2,1,REDOAK,75154,TX,US,31.106,-97.6475,32.51,-96.8
10,40.2,-77.2,3,COLUMBIA,29201,SC,US,33.8191,-80.9066,34,-81.03
550,32.73,-96.29,1,MESQUITE,75150,TX,US,31.106,-97.6475,32.76,-96.59
664,33.98,-117.65,2,ONTARIO,91761,CA,US,36.17,-119.7462,34.02,-117.58
665,33.44,-112.13,4,LASVEGAS,89103,NV,US,38.4199,-117.1219,36.11,-115.21
663,38.39,-121.81,1,LIVERMORE,94551,CA,US,36.17,-119.7462,37.77,-121.75
10,40.2,-77.2,1,ORADELL,7649,NJ,US,40.314,-74.5089,40.95,-74.03
1661,47.1,-122.32,4,SPOKANEVALLEY,99212,WA,US,47.3917,-121.5708,47.65,-117.31
